+-------------------------------+-------------+------+-----------+
| palavra                       | nome        | flag | descricao |
| BOCA                          | SUBSTANTIVO | NOUN |           |
| BOCHECHA                      | SUBSTANTIVO | NOUN |           |
| BODE                          | SUBSTANTIVO | NOUN |           |
| BOFETADA                      | SUBSTANTIVO | NOUN |           |
| BOI                           | SUBSTANTIVO | NOUN |           |
| BÓIA1                         | SUBSTANTIVO | NOUN |           |
| BÓIA2                         | SUBSTANTIVO | NOUN |           |
| BÓIA3                         | SUBSTANTIVO | NOUN |           |
| BOINA                         | SUBSTANTIVO | NOUN |           |
| BOLA                          | SUBSTANTIVO | NOUN |           |
| BOLA                          | SUBSTANTIVO | NOUN |           |
| BOLA                          | SUBSTANTIVO | NOUN |           |
| BOLA                          | SUBSTANTIVO | NOUN |           |
| BOLA                          | SUBSTANTIVO | NOUN |           |
| BOLACHA                       | SUBSTANTIVO | NOUN |           |
| BOLHA                         | SUBSTANTIVO | NOUN |           |
| BOLHA                         | SUBSTANTIVO | NOUN |           |
| BOLICHE                       | SUBSTANTIVO | NOUN |           |
| BOLÍVIA                       | SUBSTANTIVO | NOUN |           |
| BOLO 1                        | SUBSTANTIVO | NOUN |           |
| BOLO 2                        | SUBSTANTIVO | NOUN |           |
| BOLSA                         | SUBSTANTIVO | NOUN |           |
| BOLSA DE ESTUDO               | SUBSTANTIVO | NOUN |           |
| BOLSO                         | SUBSTANTIVO | NOUN |           |
| BOMBA                         | SUBSTANTIVO | NOUN |           |
| BOMBA                         | SUBSTANTIVO | NOUN |           |
| BOMBARDEAR                    | SUBSTANTIVO | NOUN |           |
| BOMBEIRO                      | SUBSTANTIVO | NOUN |           |
| BOMBOM                        | SUBSTANTIVO | NOUN |           |
| BOMBRIL                       | SUBSTANTIVO | NOUN |           |
| BONDINHO                      | SUBSTANTIVO | NOUN |           |
| BONÉ                          | SUBSTANTIVO | NOUN |           |
| BONECA                        | SUBSTANTIVO | NOUN |           |
| BONITO                        | SUBSTANTIVO | NOUN |           |
| BÔNUS                         | SUBSTANTIVO | NOUN |           |
| BORBOLETA                     | SUBSTANTIVO | NOUN |           |
| BORRACHA                      | SUBSTANTIVO | NOUN |           |
| BOSQUE                        | SUBSTANTIVO | NOUN |           |
| BOTA                          | SUBSTANTIVO | NOUN |           |
| BOTÃO                         | SUBSTANTIVO | NOUN |           |
| BOTIJAO DE GÁS                | SUBSTANTIVO | NOUN |           |
| BOXE                          | SUBSTANTIVO | NOUN |           |
| BRAÇADEIRA                    | SUBSTANTIVO | NOUN |           |
| BRACELETE                     | SUBSTANTIVO | NOUN |           |
| BRAÇO                         | SUBSTANTIVO | NOUN |           |
| BRAÇO DE FERRO                | SUBSTANTIVO | NOUN |           |
| BRAILLE                       | SUBSTANTIVO | NOUN |           |
| BRASÃO                        | SUBSTANTIVO | NOUN |           |
| BRASIL                        | SUBSTANTIVO | NOUN |           |
| BRASÍLIA                      | SUBSTANTIVO | NOUN |           |
| BRIGADEIRO                    | SUBSTANTIVO | NOUN |           |
| BRILHO                        | SUBSTANTIVO | NOUN |           |
| BRINCADEIRA                   | SUBSTANTIVO | NOUN |           |
| BRINCO                        | SUBSTANTIVO | NOUN |           |
| BRINDE                        | SUBSTANTIVO | NOUN |           |
| BRINQUEDO                     | SUBSTANTIVO | NOUN |           |
| BROCHE                        | SUBSTANTIVO | NOUN |           |
| BROCHURA                      | SUBSTANTIVO | NOUN |           |
| BRÓCOLIS                      | SUBSTANTIVO | NOUN |           |
| BRONCA                        | SUBSTANTIVO | NOUN |           |
| BRONQUITE                     | SUBSTANTIVO | NOUN |           |
| BRONZE                        | SUBSTANTIVO | NOUN |           |
| BRONZEADOR                    | SUBSTANTIVO | NOUN |           |
